date,equity,return,benchmark_return,leverage,cost,cash_weight,C0_w,C1_w,C2_w,C3_w,C4_w,C5_w,C6_w,C7_w,C8_w,C9_w
2020-07-20,99.74601770976297,-0.002539822902370361,0.0,3.0,0.002561153054237366,0.14628229,0.053814244,0.07425578,0.14628229,0.14628229,0.14628229,0.058618337,0.06673971,0.053814244,0.053814244,0.053814244
2020-07-21,100.31709004888607,0.00572529761120677,-0.06791015,3.0,0.0008209968218579888,0.05594992,0.15208766,0.15208766,0.15208766,0.05594992,0.05594992,0.05594992,0.15208766,0.05594992,0.05594992,0.05594992
2020-07-22,100.13285984874463,-0.0018364924471825361,0.0,3.0,0.0007074240711517632,0.16213144,0.16213144,0.059644822,0.10116529,0.059644822,0.059644822,0.059644822,0.059644822,0.10065605,0.09497833,0.0807133
2020-07-23,98.72892892501447,-0.014020703732967377,-0.045049544,3.0,0.0008280617184937,0.1357807,0.049950927,0.1357807,0.049950927,0.051892813,0.1357807,0.06645532,0.1357807,0.049950927,0.1357807,0.052895475
2020-07-24,97.72201509368676,-0.01019879151135683,0.0,3.0,0.0005373901221901178,0.14396632,0.052962247,0.052962247,0.08660141,0.07272206,0.14396632,0.052962247,0.14396632,0.052962247,0.052962247,0.14396632
2020-07-26,97.62113153222921,-0.0010323227616026998,0.0,3.0,0.0005472055054269731,0.06997091,0.11077111,0.06997091,0.06997091,0.08304604,0.12618579,0.06997091,0.06997091,0.06997091,0.06997091,0.19020067
2020-07-27,98.23574630988281,0.006295947358012199,0.0,3.0,0.00047083021490834653,0.04817146,0.10028255,0.12674172,0.1003598,0.11839908,0.12715052,0.04817146,0.10343682,0.04817146,0.04817146,0.13094361
2020-07-28,97.87314472796767,-0.003691150341182947,0.0,3.0,0.0005526471068151295,0.059362926,0.059362926,0.059362926,0.15163432,0.12994413,0.08989742,0.059362926,0.11543116,0.059362926,0.12399887,0.09227948
2020-07-29,97.66851040897413,-0.002090816618874669,0.06582551,3.0,0.0005236808210611343,0.054716896,0.09526485,0.054716896,0.054716896,0.14873596,0.07370015,0.09803592,0.06792369,0.054716896,0.14873596,0.14873596
2020-07-30,97.76549654680615,0.000993050867691636,-0.061760113,3.0,0.0007138392538763583,0.15106831,0.15106831,0.055574924,0.07204475,0.055574924,0.13811538,0.055574924,0.058760308,0.055574924,0.15106831,0.055574924
2020-07-31,97.6616311492068,-0.001062415074557066,0.0,3.0,0.0006517760921269655,0.062733114,0.10683871,0.09380678,0.062733114,0.062733114,0.062733114,0.1705263,0.062733114,0.062733114,0.1705263,0.081903204
2020-08-02,97.95268549084848,0.0029802678618580103,0.0,3.0,0.00016111899458337575,0.05971331,0.11697371,0.10613477,0.09397652,0.05971331,0.05971331,0.16231762,0.05971331,0.05971331,0.16231762,0.05971331
2020-08-03,98.3426462429366,0.003981119021773338,0.0,3.0,0.0006209714920260012,0.055049196,0.055049196,0.092555314,0.096421644,0.0985984,0.07668637,0.14742765,0.055049196,0.11847452,0.055049196,0.14963923
2020-08-04,97.39296640147485,-0.009656872600317001,0.0,3.0,0.0006366664892993867,0.08095215,0.075010635,0.07435051,0.07435051,0.07435051,0.07435051,0.07435051,0.20210566,0.07435051,0.07435051,0.12147791
2020-08-05,96.9887359366349,-0.004150505643337965,0.08111122,3.0,0.00025926539092324674,0.071164675,0.071164675,0.071164675,0.073011234,0.071164675,0.071164675,0.16028887,0.16014194,0.07483402,0.071164675,0.104735956
2020-08-06,97.52746538387662,0.005554609932005405,0.0,3.0,0.0005947753670625389,0.05735577,0.15590915,0.0999341,0.05735577,0.15590915,0.05735577,0.15590915,0.05735577,0.05735577,0.057846226,0.08771336
2020-08-07,97.21100076808469,-0.00324488733895123,0.0,3.0,0.0007645193836651742,0.05476496,0.05476496,0.05476496,0.05476496,0.09563657,0.1488666,0.1488666,0.12917389,0.1488666,0.05476496,0.05476496
2020-08-09,97.0910834425942,-0.001233564573340118,0.0,3.0,0.0009119044407270849,0.10491158,0.0679514,0.0679514,0.17929974,0.17217752,0.0679514,0.0679514,0.0679514,0.0679514,0.0679514,0.0679514
2020-08-10,97.17707944455047,0.0008857379434630275,0.0,3.0,0.0004029700066894293,0.077288225,0.07259977,0.07259977,0.07259977,0.19734664,0.07259977,0.07259977,0.07259977,0.07828876,0.13887806,0.07259977
2020-08-11,97.8100863930321,0.006513902917504311,0.0,3.0,0.0007544407853856683,0.17689574,0.0650763,0.17689574,0.0650763,0.07049794,0.0650763,0.0650763,0.0650763,0.0650763,0.0650763,0.12017651
2020-08-12,97.9233270593082,0.0011578152189031243,0.010313003,3.0,0.0006793156499043107,0.058622647,0.058622647,0.15609875,0.15935288,0.15935288,0.08088343,0.058622647,0.058622647,0.09257616,0.058622647,0.058622647
2020-08-13,98.00438694231858,0.0008278194582089782,0.0,3.0,0.0006425633328035474,0.06591245,0.10697058,0.058975257,0.15487444,0.06407899,0.06851413,0.05697512,0.05697512,0.15487444,0.15487444,0.05697512
2020-08-14,98.18751848992706,0.0018685872200876474,0.0,3.0,0.0007489523850381374,0.047623325,0.12945363,0.12945363,0.06553649,0.07409045,0.12945363,0.12945363,0.07023491,0.047623325,0.12945363,0.047623325
